year,avg_temp_beirut,avg_temp_global
1791,21.57,8.23
1792,18.79,8.09
1793,19.73,8.23
1794,12.42,8.53
1795,21.30,8.35
1796,18.98,8.27
1797,19.23,8.51
1798,19.32,8.67
1799,20.13,8.51
1800,,8.48
1801,20.56,8.59
1802,20.29,8.58
1803,23.22,8.50
1804,21.96,8.84
1805,12.97,8.56
1806,,8.43
1807,18.47,8.28
1808,16.53,7.63
1809,17.62,7.08
1810,17.70,6.92
1811,17.73,6.86
1812,17.63,7.05
1813,18.13,7.74
1814,18.25,7.59
1815,17.95,7.24
1816,17.54,6.94
1817,17.75,6.98
1818,18.54,7.83
1819,18.12,7.37
1820,18.26,7.62
1821,18.31,8.09
1822,18.15,8.19
1823,18.55,7.72
1824,19.37,8.55
1825,18.58,8.39
1826,18.50,8.36
1827,19.46,8.81
1828,18.60,8.17
1829,18.57,7.94
1830,18.88,8.52
1831,18.21,7.64
1832,17.51,7.45
1833,18.46,8.01
1834,18.30,8.15
1835,17.88,7.39
1836,18.32,7.70
1837,17.98,7.38
1838,17.79,7.51
1839,18.06,7.63
1840,18.06,7.80
1841,18.65,7.69
1842,18.52,8.02
1843,18.52,8.17
1844,18.32,7.65
1845,18.60,7.85
1846,19.21,8.55
1847,18.80,8.09
1848,18.73,7.98
1849,18.67,7.98
1850,18.11,7.90
1851,19.08,8.18
1852,18.76,8.10
1853,19.41,8.04
1854,18.32,8.21
1855,18.85,8.11
1856,18.30,8.00
1857,17.88,7.76
1858,18.53,8.10
1859,18.72,8.25
1860,19.20,7.96
1861,17.70,7.85
1862,17.70,7.56
1863,18.20,8.11
1864,18.76,7.98
1865,19.10,8.18
1866,18.96,8.29
1867,18.85,8.44
1868,18.48,8.25
1869,19.12,8.43
1870,18.93,8.20
1871,18.38,8.12
1872,19.08,8.19
1873,19.32,8.35
1874,18.50,8.43
1875,17.74,7.86
1876,19.08,8.08
1877,19.34,8.54
1878,19.28,8.83
1879,19.60,8.17
1880,18.15,8.12
1881,18.76,8.27
1882,18.07,8.13
1883,18.71,7.98
1884,18.24,7.77
1885,19.18,7.92
1886,18.64,7.95
1887,19.12,7.91
1888,18.80,8.09
1889,19.12,8.32
1890,18.92,7.97
1891,18.85,8.02
1892,19.08,8.07
1893,18.49,8.06
1894,18.24,8.16
1895,18.63,8.15
1896,18.53,8.21
1897,18.12,8.29
1898,18.59,8.18
1899,18.71,8.40
1900,19.15,8.50
1901,19.62,8.54
1902,19.16,8.30
1903,18.59,8.22
1904,18.52,8.09
1905,18.49,8.23
1906,18.65,8.38
1907,18.06,7.95
1908,18.17,8.19
1909,19.22,8.18
1910,18.42,8.22
1911,17.91,8.18
1912,18.62,8.17
1913,18.22,8.30
1914,18.40,8.59
1915,19.09,8.59
1916,19.38,8.23
1917,19.22,8.02
1918,18.75,8.13
1919,19.03,8.38
1920,18.10,8.36
1921,18.31,8.57
1922,19.21,8.41
1923,19.29,8.42
1924,19.11,8.51
1925,18.99,8.53
1926,19.21,8.73
1927,19.52,8.52
1928,19.47,8.63
1929,18.88,8.24
1930,19.52,8.63
1931,19.21,8.72
1932,19.08,8.71
1933,18.44,8.34
1934,19.24,8.63
1935,19.61,8.52
1936,19.42,8.55
1937,19.66,8.70
1938,18.86,8.86
1939,19.47,8.76
1940,19.29,8.76
1941,19.54,8.77
1942,19.14,8.73
1943,18.86,8.76
1944,19.09,8.85
1945,18.82,8.58
1946,19.39,8.68
1947,20.05,8.80
1948,18.60,8.75
1949,18.36,8.59
1950,18.94,8.37
1951,19.40,8.63
1952,19.48,8.64
1953,18.40,8.87
1954,19.41,8.56
1955,19.93,8.63
1956,18.97,8.28
1957,19.21,8.73
1958,19.54,8.77
1959,18.56,8.73
1960,20.10,8.58
1961,19.18,8.80
1962,20.11,8.75
1963,19.75,8.86
1964,18.68,8.41
1965,19.08,8.53
1966,19.89,8.60
1967,18.37,8.70
1968,19.36,8.52
1969,19.50,8.60
1970,19.55,8.70
1971,19.06,8.60
1972,18.66,8.50
1973,19.11,8.95
1974,19.07,8.47
1975,19.01,8.74
1976,18.76,8.35
1977,19.21,8.85
1978,19.49,8.69
1979,19.78,8.73
1980,19.08,8.98
1981,19.46,9.17
1982,18.67,8.64
1983,18.62,9.03
1984,19.05,8.69
1985,19.45,8.66
1986,19.42,8.83
1987,19.09,8.99
1988,19.21,9.20
1989,19.35,8.92
1990,19.40,9.23
1991,19.31,9.18
1992,18.18,8.84
1993,19.14,8.87
1994,19.93,9.04
1995,19.35,9.35
1996,19.65,9.04
1997,18.99,9.20
1998,20.19,9.52
1999,20.25,9.29
2000,19.65,9.20
2001,20.29,9.41
2002,19.91,9.57
2003,19.85,9.53
2004,19.72,9.32
2005,19.68,9.70
2006,19.59,9.53
2007,20.04,9.73
2008,20.24,9.43
2009,20.19,9.51
2010,21.26,9.70
2011,19.67,9.52
2012,20.19,9.51
2013,20.08,9.61
