year,city,avg_temp,avg_temp_global
1791,Beirut,21.57,8.23
1792,Beirut,18.79,8.09
1793,Beirut,19.73,8.23
1794,Beirut,12.42,8.53
1795,Beirut,21.3,8.35
1796,Beirut,18.98,8.27
1797,Beirut,19.23,8.51
1798,Beirut,19.32,8.67
1799,Beirut,20.13,8.51
1800,Beirut,,8.48
1801,Beirut,20.56,8.59
1802,Beirut,20.29,8.58
1803,Beirut,23.22,8.5
1804,Beirut,21.96,8.84
1805,Beirut,12.97,8.56
1806,Beirut,,8.43
1807,Beirut,18.47,8.28
1808,Cairo,17.11,7.63
1808,Beirut,16.53,7.63
1809,Beirut,17.62,7.08
1809,Cairo,19.87,7.08
1810,Beirut,17.7,6.92
1810,Cairo,19.93,6.92
1811,Beirut,17.73,6.86
1811,Cairo,20,6.86
1812,Cairo,19.93,7.05
1812,Beirut,17.63,7.05
1813,Beirut,18.13,7.74
1813,Cairo,20.51,7.74
1814,Beirut,18.25,7.59
1814,Cairo,20.43,7.59
1815,Beirut,17.95,7.24
1815,Cairo,20.3,7.24
1816,Cairo,20.51,6.94
1816,Beirut,17.54,6.94
1817,Cairo,21.88,6.98
1817,Beirut,17.75,6.98
1818,Beirut,18.54,7.83
1818,Cairo,11.6,7.83
1819,Beirut,18.12,7.37
1819,Cairo,20.31,7.37
1820,Cairo,20.58,7.62
1820,Beirut,18.26,7.62
1821,Beirut,18.31,8.09
1821,Cairo,20.63,8.09
1822,Beirut,18.15,8.19
1822,Cairo,20.72,8.19
1823,Beirut,18.55,7.72
1823,Cairo,20.71,7.72
1824,Cairo,21.44,8.55
1824,Beirut,19.37,8.55
1825,Cairo,21,8.39
1825,Beirut,18.58,8.39
1826,Beirut,18.5,8.36
1826,Cairo,20.94,8.36
1827,Beirut,19.46,8.81
1827,Cairo,21.63,8.81
1828,Beirut,18.6,8.17
1828,Cairo,20.99,8.17
1829,Cairo,20.91,7.94
1829,Beirut,18.57,7.94
1830,Beirut,18.88,8.52
1830,Cairo,21.25,8.52
1831,Cairo,20.52,7.64
1831,Beirut,18.21,7.64
1832,Cairo,20.2,7.45
1832,Beirut,17.51,7.45
1833,Beirut,18.46,8.01
1833,Cairo,20.81,8.01
1834,Beirut,18.3,8.15
1834,Cairo,20.69,8.15
1835,Beirut,17.88,7.39
1835,Cairo,20.17,7.39
1836,Beirut,18.32,7.7
1836,Cairo,20.59,7.7
1837,Cairo,20.27,7.38
1837,Beirut,17.98,7.38
1838,Cairo,20.21,7.51
1838,Beirut,17.79,7.51
1839,Beirut,18.06,7.63
1839,Cairo,20.43,7.63
1840,Cairo,20.56,7.8
1840,Beirut,18.06,7.8
1841,Cairo,20.91,7.69
1841,Beirut,18.65,7.69
1842,Cairo,20.92,8.02
1842,Beirut,18.52,8.02
1843,Abu Dhabi,26.04,8.17
1843,Beirut,18.52,8.17
1843,Cairo,20.83,8.17
1844,Beirut,18.32,7.65
1844,Abu Dhabi,26.26,7.65
1844,Cairo,20.66,7.65
1845,Cairo,20.9,7.85
1845,Abu Dhabi,,7.85
1845,Beirut,18.6,7.85
1846,Abu Dhabi,,8.55
1846,Cairo,21.57,8.55
1846,Beirut,19.21,8.55
1847,Beirut,18.8,8.09
1847,Cairo,21.1,8.09
1847,Abu Dhabi,,8.09
1848,Beirut,18.73,7.98
1848,Abu Dhabi,25.83,7.98
1848,Cairo,20.89,7.98
1849,Beirut,18.67,7.98
1849,Abu Dhabi,26.01,7.98
1849,Cairo,20.9,7.98
1850,Beirut,18.11,7.9
1850,Cairo,20.39,7.9
1850,Abu Dhabi,25.69,7.9
1851,Cairo,21.11,8.18
1851,Abu Dhabi,26.25,8.18
1851,Beirut,19.08,8.18
1852,Cairo,21.04,8.1
1852,Abu Dhabi,,8.1
1852,Beirut,18.76,8.1
1853,Abu Dhabi,,8.04
1853,Cairo,21.53,8.04
1853,Beirut,19.41,8.04
1854,Beirut,18.32,8.21
1854,Abu Dhabi,,8.21
1854,Cairo,20.74,8.21
1855,Beirut,18.85,8.11
1855,Cairo,21.04,8.11
1855,Abu Dhabi,,8.11
1856,Cairo,20.49,8
1856,Abu Dhabi,,8
1856,Beirut,18.3,8
1857,Beirut,17.88,7.76
1857,Cairo,20.29,7.76
1857,Abu Dhabi,,7.76
1858,Beirut,18.53,8.1
1858,Abu Dhabi,,8.1
1858,Cairo,20.9,8.1
1859,Beirut,18.72,8.25
1859,Abu Dhabi,,8.25
1859,Cairo,20.98,8.25
1860,Abu Dhabi,,7.96
1860,Cairo,21.33,7.96
1860,Beirut,19.2,7.96
1861,Cairo,20.21,7.85
1861,Abu Dhabi,25.1,7.85
1861,Beirut,17.7,7.85
1862,Abu Dhabi,25.34,7.56
1862,Beirut,17.7,7.56
1862,Cairo,20.22,7.56
1863,Abu Dhabi,23.62,8.11
1863,Cairo,20.6,8.11
1863,Beirut,18.2,8.11
1864,Beirut,18.76,7.98
1864,Abu Dhabi,26,7.98
1864,Cairo,21.25,7.98
1865,Beirut,19.1,8.18
1865,Abu Dhabi,26.26,8.18
1865,Cairo,21.55,8.18
1866,Abu Dhabi,26.09,8.29
1866,Cairo,21.35,8.29
1866,Beirut,18.96,8.29
1867,Beirut,18.85,8.44
1867,Cairo,21.45,8.44
1867,Abu Dhabi,26.44,8.44
1868,Abu Dhabi,26.33,8.25
1868,Cairo,20.94,8.25
1868,Beirut,18.48,8.25
1869,Cairo,21.41,8.43
1869,Abu Dhabi,26.51,8.43
1869,Beirut,19.12,8.43
1870,Cairo,21.3,8.2
1870,Abu Dhabi,26.24,8.2
1870,Beirut,18.93,8.2
1871,Abu Dhabi,26.17,8.12
1871,Cairo,20.87,8.12
1871,Beirut,18.38,8.12
1872,Cairo,21.14,8.19
1872,Beirut,19.08,8.19
1872,Abu Dhabi,26.16,8.19
1873,Abu Dhabi,26.42,8.35
1873,Cairo,21.4,8.35
1873,Beirut,19.32,8.35
1874,Cairo,20.77,8.43
1874,Beirut,18.5,8.43
1874,Abu Dhabi,26.3,8.43
1875,Cairo,19.99,7.86
1875,Abu Dhabi,26.13,7.86
1875,Beirut,17.74,7.86
1876,Beirut,19.08,8.08
1876,Abu Dhabi,26.19,8.08
1876,Cairo,21.05,8.08
1877,Abu Dhabi,26.59,8.54
1877,Cairo,21.39,8.54
1877,Beirut,19.34,8.54
1878,Abu Dhabi,26.59,8.83
1878,Cairo,21.54,8.83
1878,Beirut,19.28,8.83
1879,Beirut,19.6,8.17
1879,Abu Dhabi,26.09,8.17
1879,Cairo,21.49,8.17
1880,Cairo,21.2,8.12
1880,Abu Dhabi,26.2,8.12
1880,Beirut,18.15,8.12
1881,Beirut,18.76,8.27
1881,Abu Dhabi,26.75,8.27
1881,Cairo,21.56,8.27
1882,Abu Dhabi,26.05,8.13
1882,Beirut,18.07,8.13
1882,Cairo,20.38,8.13
1883,Abu Dhabi,26.3,7.98
1883,Cairo,20.65,7.98
1883,Beirut,18.71,7.98
1884,Beirut,18.24,7.77
1884,Abu Dhabi,26.15,7.77
1884,Cairo,20.23,7.77
1885,Abu Dhabi,26.1,7.92
1885,Beirut,19.18,7.92
1885,Cairo,20.91,7.92
1886,Cairo,20.55,7.95
1886,Abu Dhabi,26.38,7.95
1886,Beirut,18.64,7.95
1887,Beirut,19.12,7.91
1887,Abu Dhabi,26.08,7.91
1887,Cairo,21.21,7.91
1888,Abu Dhabi,26.3,8.09
1888,Beirut,18.8,8.09
1888,Cairo,21.04,8.09
1889,Abu Dhabi,26.61,8.32
1889,Cairo,21.05,8.32
1889,Beirut,19.12,8.32
1890,Cairo,21.09,7.97
1890,Abu Dhabi,26.2,7.97
1890,Beirut,18.92,7.97
1891,Beirut,18.85,8.02
1891,Cairo,21.13,8.02
1891,Abu Dhabi,26.43,8.02
1892,Beirut,19.08,8.07
1892,Cairo,21.39,8.07
1892,Abu Dhabi,26.55,8.07
1893,Beirut,18.49,8.06
1893,Cairo,20.57,8.06
1893,Abu Dhabi,26.36,8.06
1894,Abu Dhabi,26.24,8.16
1894,Cairo,20.95,8.16
1894,Beirut,18.24,8.16
1895,Abu Dhabi,25.98,8.15
1895,Cairo,20.97,8.15
1895,Beirut,18.63,8.15
1896,Beirut,18.53,8.21
1896,Cairo,21.17,8.21
1896,Abu Dhabi,26.36,8.21
1897,Abu Dhabi,26.29,8.29
1897,Cairo,20.82,8.29
1897,Beirut,18.12,8.29
1898,Cairo,20.92,8.18
1898,Abu Dhabi,25.92,8.18
1898,Beirut,18.59,8.18
1899,Cairo,21.04,8.4
1899,Abu Dhabi,26.57,8.4
1899,Beirut,18.71,8.4
1900,Abu Dhabi,26.43,8.5
1900,Cairo,21.57,8.5
